iteration,chain,ρ₀,ψ,q,β₀,η,ω,φ,δ₁,δ₂,δ₃,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,is_adapt
501,1,0.005076542271580947,0.22330300834875547,0.0002607827256749215,3.1414188593775205,0.04747154608640871,370.32396224745656,197.18757368203703,0.7910795515434977,0.9219314083929164,0.2822438855491079,-3498.499648745389,31.0,1.0,0.304698748989399,-3498.499648745389,3509.4186375266995,1.3569202314006361,4.1203643879625815,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
502,1,0.004874601316729058,0.22401827460360121,0.0002649693378049688,2.970104677623824,0.044991868102417086,399.37029402357655,197.26837084034517,0.7966826024124531,0.9412967229629055,0.310566539309363,-3494.6931694319933,31.0,1.0,0.9763516577233301,-3494.6931694319933,3501.3932311373924,-0.004736269040222396,0.7012187164077659,4.0,0.0,0.13514920554991305,0.13514920554991305,0.0
503,1,0.005033704190015579,0.2068642971379316,0.0002617315853898258,2.9792057016255717,0.046359012533089036,383.6533219751369,195.09554743056194,0.8116882841081245,0.8941902131830958,0.31355923608125474,-3493.5690227481978,31.0,1.0,0.9974931138669415,-3493.5690227481978,3497.0649765551216,-0.05117605340456066,-0.12578369419043156,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
504,1,0.005088483577865962,0.21178376719705652,0.0002594620751205321,2.9194977526141015,0.045077646769513424,397.60241278615774,195.7174876519339,0.7893346564076819,0.9295746292540848,0.33038134001731073,-3493.8358188162442,31.0,1.0,0.9086612448046842,-3493.8358188162442,3496.565185112737,0.08771576418575933,0.31327858771510364,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
505,1,0.005048448282317122,0.20422869088999712,0.00026333534538059767,2.9908190880521266,0.047624111022768395,383.7558331949213,193.5354014661844,0.8106873565687313,0.9171012405643564,0.302785600534366,-3495.4528211388424,31.0,1.0,0.997019983380184,-3495.4528211388424,3497.95592064364,-0.008403919510328706,-0.06641521205665413,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
506,1,0.005038824542414029,0.20072700258055712,0.0002652630979657545,2.996204056876015,0.048083023748911956,379.50214393713344,194.33802613781822,0.8109425033962976,0.9049226151471312,0.30581567238751217,-3495.7554976680685,31.0,1.0,0.9995479637972019,-3495.7554976680685,3497.706673630399,-0.016423074164322315,-0.0389577656851543,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
507,1,0.005023430374758471,0.2138787133145398,0.0002633430324296135,2.937741580155971,0.04482593221921391,411.87664322609726,194.0285681537372,0.7877719310518816,0.9618187878195538,0.31814867867186025,-3495.6438029294773,31.0,1.0,0.7987960564634484,-3495.6438029294773,3500.8287383841953,-0.2781520655262284,6.859330905454044,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
508,1,0.005368352888045205,0.2187524361199931,0.0002558652877959997,2.911740380893853,0.047031937758254906,368.2389653959854,194.9607217798317,0.811642217046875,0.920354201752115,0.31034311668835984,-3496.7833059740847,31.0,1.0,0.8479506536942765,-3496.7833059740847,3500.8475483031816,0.10897373783927833,0.29017316066483545,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
509,1,0.004959869660424129,0.20971952677004477,0.00026023132191843937,2.9750584379054206,0.046790162183393866,375.25891975917614,196.23834624636925,0.8022316148930795,0.9429085055305847,0.2997450203639091,-3493.7941408579622,15.0,1.0,0.9932240922570095,-3493.7941408579622,3499.729948124302,-0.005076699621440639,-0.05083526749740486,4.0,0.0,0.13514920554991305,0.13514920554991305,0.0
510,1,0.005415954130774,0.22089319672492472,0.000257953705359528,3.101651306607444,0.04576634096937694,401.645630422508,199.23409930815617,0.7925914027534856,0.9706197500994569,0.282305621480473,-3502.364513517368,15.0,1.0,0.982099163644412,-3502.364513517368,3505.8383192267247,-0.02003471632451692,0.053922336331197585,4.0,0.0,0.13514920554991305,0.13514920554991305,0.0
511,1,0.005197522183269712,0.21910379665067028,0.000259068014904169,2.746486557679347,0.044386803425505654,396.97351418590205,197.96283882303015,0.8102294131531264,0.9610952858367376,0.3402469276551303,-3495.893045935174,15.0,1.0,0.9892660832782053,-3495.893045935174,3506.9373010981562,-0.009831876438965992,0.03716540597315543,4.0,0.0,0.13514920554991305,0.13514920554991305,0.0
512,1,0.004997151252334369,0.20156436808126146,0.0002669365427951211,2.8854827330583643,0.04667294167113814,384.4561308569631,197.82336016628625,0.813547015871535,0.8994998960028178,0.3293332292921973,-3494.2250539875286,31.0,1.0,0.9659354204593075,-3494.2250539875286,3499.2519127347055,0.05265830266398552,0.17096312817511716,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
513,1,0.0051626574825995855,0.2205439716465042,0.000259125095768381,2.8711919145783438,0.04478713825405242,399.12170988338335,193.85076423803918,0.8108392083932302,0.9392526321855055,0.3203270825150722,-3494.099815949092,31.0,1.0,0.7989871634613511,-3494.099815949092,3502.704371347813,0.1589012725903558,0.5757474452152564,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
514,1,0.004996286857012903,0.2041064388078236,0.0002633146348322434,3.106632014517647,0.04723015782621869,396.6430364293153,196.097795702721,0.786342338177949,0.920246722942718,0.30168741011278677,-3494.446290985298,31.0,1.0,0.8825890088363133,-3494.446290985298,3499.344497907927,0.013487647164311056,0.3845711784656487,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
515,1,0.004958269203147264,0.22246627348195747,0.00026301885425149155,2.8574874420472045,0.0455560428565337,390.67098382503144,197.40799944161984,0.8218007062724461,0.8724097076993874,0.3438421024324201,-3494.2424327388057,31.0,1.0,0.9728369789135307,-3494.2424327388057,3498.079575902592,0.0015801530585122237,0.05825590577796902,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
516,1,0.005659361200972785,0.21731721301670626,0.00025439595740671113,2.8684974167965462,0.04544531002471162,395.57773446110025,197.5042262420559,0.8259812513091742,0.8893366458283107,0.3328806631275756,-3499.589983066152,31.0,1.0,0.8897013707522453,-3499.589983066152,3501.4407996673367,0.14735290889893804,0.23343547434797074,4.0,0.0,0.13514920554991305,0.13514920554991305,0.0
517,1,0.00488352820819202,0.2532233016153018,0.000267959852473712,2.955107022561268,0.04670016150681604,398.12120970519703,194.86937506747103,0.7902972778432282,0.9553587165758399,0.31288740882602384,-3500.4755542789308,31.0,1.0,0.6833144131535273,-3500.4755542789308,3510.4189404554577,0.3861224881961789,0.8974345838205409,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
518,1,0.004934864585188476,0.1742109132498004,0.00026377447464546474,2.932797534630371,0.04596393103210294,387.5096450380237,194.68554593801392,0.817842793321416,0.8987137350964797,0.31788042768741737,-3499.478092379251,31.0,1.0,0.9709687013698244,-3499.478092379251,3508.4880804054346,0.015432297132520034,0.10819864644690824,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
519,1,0.004876459158589707,0.176946811366856,0.00026790125238671826,2.9292458925579496,0.04526714643575072,382.2910741001847,192.41653480820915,0.8079944775838865,0.9223471068474965,0.30791111792919695,-3500.251597386862,31.0,1.0,0.7981227963940314,-3500.251597386862,3506.555781004312,-0.058080398726815474,3.3765175286184785,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
520,1,0.004746592936993543,0.18458483130618158,0.00026624109381931767,2.920644447959573,0.04545155365962775,387.09741370273593,194.4315868420972,0.8092957088599493,0.9667208097159505,0.29670599777521006,-3498.334358268201,15.0,1.0,0.7696677378518925,-3498.334358268201,3507.916247925744,0.427379232795829,0.7173941697469672,4.0,0.0,0.13514920554991305,0.13514920554991305,0.0
521,1,0.004854473377157165,0.21268487817176007,0.0002582837047723749,2.916159788962072,0.04393936271310028,399.60671062510824,194.5707742309176,0.8127003032841312,0.9266487095943415,0.31532033353135414,-3496.630600495546,31.0,1.0,0.9857059065824776,-3496.630600495546,3504.313421847918,-0.13640101255487025,-0.514920452860224,5.0,0.0,0.13514920554991305,0.13514920554991305,0.0
