iteration,chain,ρ₀,ψ,q,β₀,η,ω,φ,k,δ₁,δ₂,δ₃,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,is_adapt
501,1,0.00543922003301449,0.1680096886234005,0.00025025009284077515,2.972789460635424,0.37648933028043996,411.0899942444009,198.7283647561334,0.39564467696861794,0.8197243864905862,0.9485792217224704,0.29806921803808206,-3421.3783986199,63.0,1.0,0.9416413402044902,-3421.3783986199,3426.7630753990943,0.06919857873253932,0.17071886968869876,6.0,0.0,0.03572419843959875,0.03572419843959875,0.0
502,1,0.005579392455331079,0.17180260074909323,0.00024799361789247857,3.048161845453556,0.42724990535735474,402.90919918020074,199.05695068258424,0.3751921386363754,0.8170238905985763,0.8931844153872425,0.3090234551432521,-3420.5527700395114,63.0,1.0,0.9991928106368212,-3420.5527700395114,3423.4744119521897,-0.04406053246157171,-0.08039605095927982,6.0,0.0,0.03572419843959875,0.03572419843959875,0.0
503,1,0.005803658292080859,0.1674104545986214,0.00024598344690686304,2.864655561607701,0.37105698748343285,410.5409645300087,200.63862328600206,0.3921544071145103,0.8504784652490087,0.9494908980076878,0.30427219214283807,-3424.060971625621,63.0,1.0,0.7500009363741001,-3424.060971625621,3428.6479873138096,0.352436300140198,0.906672315760261,6.0,0.0,0.03572419843959875,0.03572419843959875,0.0
504,1,0.005325361392386186,0.17504612393805094,0.00024568079691552735,2.981746725725512,0.3943846215625915,417.48222491888134,198.24784857346563,0.39953844816322037,0.8040475405026242,0.9636658339068699,0.30753443590526064,-3424.3649543488364,127.0,1.0,0.974963803842022,-3424.3649543488364,3430.124726287659,-0.0661082616229578,-0.4574498230736026,7.0,0.0,0.03572419843959875,0.03572419843959875,0.0
505,1,0.0052108446125920475,0.18099017691471672,0.00024748224321469116,2.9068074098198444,0.39401745438784863,424.49541696271535,198.68943039330446,0.3767154846416918,0.8386880360777467,0.949698378427651,0.3091319734788736,-3423.272168458628,127.0,1.0,0.7078571208045373,-3423.272168458628,3430.00756753376,-0.06315154023104697,49.21248039585589,7.0,0.0,0.03572419843959875,0.03572419843959875,0.0
506,1,0.0058152470276936555,0.1613296267629745,0.0002474677108761688,2.9428677946753554,0.3833055303013289,405.3467659891735,201.48361398869858,0.40441019838518527,0.8415112617451702,0.9652942876887537,0.2876024046752259,-3424.90776640879,127.0,1.0,0.999655131216837,-3424.90776640879,3429.769391533717,-0.026203500917290512,-0.08177804515617026,7.0,0.0,0.03572419843959875,0.03572419843959875,0.0
507,1,0.005488898735742352,0.18208417746818126,0.00025300598171167446,3.0076889018281476,0.3847214959362465,410.45838293562497,199.10048668067444,0.40470217688095506,0.7656709216889982,0.9134660785394688,0.33814480292452825,-3422.1553593384942,127.0,1.0,0.9960809263504663,-3422.1553593384942,3428.0156316095527,0.004551438895305182,-0.052132675089978875,7.0,0.0,0.03572419843959875,0.03572419843959875,0.0
508,1,0.005952823045619755,0.1605852361620333,0.00023656894512800612,2.9169059556429313,0.3910476027535689,407.2123412714392,198.51205771629242,0.39756263920689583,0.8690387974895492,0.94081069492492,0.28906271305162895,-3423.503182009643,127.0,1.0,0.9734094790575332,-3423.503182009643,3426.0421056391847,0.03735843806816774,0.20228901968539503,7.0,0.0,0.03572419843959875,0.03572419843959875,0.0
509,1,0.005641552541077374,0.16931740915346144,0.00024794513475526013,2.9120988800156686,0.3611178762404245,405.9072272417789,199.7168338771386,0.42070057494642443,0.8354363573356616,0.958624678237689,0.29630697631176983,-3421.440089337666,63.0,1.0,0.9983044331796082,-3421.440089337666,3426.1039689765894,-0.0190084390096672,-0.07069593036658262,6.0,0.0,0.03572419843959875,0.03572419843959875,0.0
510,1,0.005396149275748336,0.15991333275449116,0.00024904899308913553,2.967733659597121,0.4115945247958566,416.43719067198157,199.92020422479666,0.368783571515109,0.8234007054922379,0.8930227265228636,0.3257963489028832,-3421.182369453793,127.0,1.0,0.8640817510278291,-3421.182369453793,3429.1247473096387,0.45719135045692383,0.7326087161013675,7.0,0.0,0.03572419843959875,0.03572419843959875,0.0
