iteration,chain,ρ₀,ψ,q,β₀,η,ω,φ,k,δ₁,δ₂,δ₃,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,is_adapt
501,1,0.00528967487053276,0.1578624378682436,0.0002536555500638463,2.679346263952764,0.3909803898723707,424.6283188238392,202.1549528153648,0.35414466631865704,0.7084711807179218,0.8538362108704953,0.5094161546283911,-3332.9723173174984,207.0,1.0,0.8619773611431667,-3332.9723173174984,3339.7545330493244,-0.03165611744043417,75.53045272800273,7.0,0.0,0.0080412685167497,0.0080412685167497,0.0
502,1,0.004996324552427516,0.15134500850267893,0.0002536833179190576,2.293556516892314,0.3599523933987623,413.8033436301926,204.45417753259144,0.3484610339629328,0.7713942493218964,0.8906463227133521,0.5539161369161861,-3337.1913617666964,255.0,1.0,0.9858778286516413,-3337.1913617666964,3340.890172807434,0.024558750201777002,0.09065252108166533,8.0,0.0,0.0080412685167497,0.0080412685167497,0.0
503,1,0.0049473162685247886,0.1562981105796095,0.00025794804044238287,2.4840444053941453,0.4192988650990359,429.7220221497022,201.9362916300844,0.2872240465924182,0.7380268144070455,0.902236118654371,0.5152645907660045,-3336.5104253884806,211.0,1.0,0.9358656950357668,-3336.5104253884806,3342.5777762205657,-0.027037867882427236,6508.348281604218,7.0,1.0,0.0080412685167497,0.0080412685167497,0.0
504,1,0.0058868001957567825,0.16949234575118916,0.00024392028270796523,2.3099080336055557,0.3900846682171643,363.6982381910326,205.06172435350436,0.3404358219836551,0.6963546337258917,0.9485983719503798,0.5455699081675404,-3335.1431079000113,511.0,1.0,0.9839542286133383,-3335.1431079000113,3343.0558816909297,-0.02610697696945863,-0.3222957555199173,9.0,0.0,0.0080412685167497,0.0080412685167497,0.0
505,1,0.005480490099964142,0.16065135198545055,0.0002487201081611148,2.1719561226210824,0.29914561984965654,407.5625890390761,200.21885274166078,0.38740581589403267,0.8152402269118199,0.8577145867409245,0.5695108640857306,-3332.232435826011,511.0,1.0,0.9859139556530778,-3332.232435826011,3339.2580713759235,-0.05587952359701376,-0.20544005802958054,9.0,0.0,0.0080412685167497,0.0080412685167497,0.0
506,1,0.005329150410596181,0.15763915184151234,0.00026380526170965177,2.3262127100377055,0.31903756760191254,417.78683177210627,201.8623507408013,0.36966363513633305,0.7169636460224378,0.9405894966166378,0.5515488138642498,-3335.5641821314016,511.0,1.0,0.9726523029620084,-3335.5641821314016,3339.5588711596642,0.013630837232085469,0.10997431539408353,9.0,0.0,0.0080412685167497,0.0080412685167497,0.0
507,1,0.005577755524274814,0.1654241715730455,0.00024259852822872087,2.1970073856951506,0.32140709495280223,412.8820869881662,201.35784468005906,0.36831787114532644,0.8400249651529816,0.8687173060943233,0.5397038651498821,-3334.1648828893894,511.0,1.0,0.9421850334297698,-3334.1648828893894,3339.9728298539153,-0.0009432389501853322,0.2815203944583118,9.0,0.0,0.0080412685167497,0.0080412685167497,0.0
508,1,0.005586627229808928,0.1670689894143783,0.00024162198826395924,2.2985831697053083,0.2956263565909279,383.29529202815525,204.58725136453978,0.4602701011713435,0.7619406900201332,0.9185298417295754,0.5156410388975081,-3335.2987753681628,255.0,1.0,0.8513978534339683,-3335.2987753681628,3342.1958623915584,0.15784426817117492,0.5012487449130276,8.0,0.0,0.0080412685167497,0.0080412685167497,0.0
509,1,0.005522739889978697,0.17268892307514203,0.00024306077075357256,2.2651921402581436,0.30198737100369033,395.6586099711485,203.89469622936898,0.43098843845880874,0.7743813828297128,0.9222443300278964,0.5244826331221442,-3334.855454542769,255.0,1.0,0.9781089725576423,-3334.855454542769,3339.6709203337514,0.03215882652648361,0.14755372136414735,8.0,0.0,0.0080412685167497,0.0080412685167497,0.0
510,1,0.004919284917301087,0.1901127318158192,0.0002522357605761467,2.3167506681245236,0.3374277686017785,400.55742039449217,203.12428588410629,0.35787340503578674,0.7477533293391334,0.8519946015836986,0.5769912336820945,-3339.96873553659,255.0,1.0,0.9889317535766635,-3339.96873553659,3347.105089785068,-0.12435774833375035,0.3005787058905298,8.0,0.0,0.0080412685167497,0.0080412685167497,0.0
