"date","time","scaling"
2020-07-26,3850,0.740735294117647
2020-07-27,3851,0.740053475935829
2020-07-28,3852,0.740053475935829
2020-07-29,3853,0.740053475935829
2020-07-30,3854,0.740053475935829
2020-07-31,3855,0.740735294117647
2020-08-01,3856,0.740735294117647
2020-08-02,3857,0.740053475935829
2020-08-03,3858,0.739826203208556
2020-08-04,3859,0.739826203208556
2020-08-05,3860,0.739826203208556
2020-08-06,3861,0.739826203208556
2020-08-07,3862,0.739598930481283
2020-08-08,3863,0.739598930481283
2020-08-09,3864,0.739598930481283
2020-08-10,3865,0.739598930481283
2020-08-11,3866,0.739598930481283
2020-08-12,3867,0.739598930481283
2020-08-13,3868,0.739598930481283
2020-08-14,3869,0.735280748663102
2020-08-15,3870,0.735280748663102
2020-08-16,3871,0.725508021390374
2020-08-17,3872,0.647694753577106
2020-08-18,3873,0.647694753577106
2020-08-19,3874,0.647694753577106
2020-08-20,3875,0.647694753577106
2020-08-21,3876,0.647694753577106
2020-08-22,3877,0.647694753577106
2020-08-23,3878,0.66109243697479
2020-08-24,3879,0.661748807631161
2020-08-25,3880,0.664721780604134
2020-08-26,3881,0.664721780604134
2020-08-27,3882,0.664721780604134
2020-08-28,3883,0.664721780604134
2020-08-29,3884,0.664721780604134
2020-08-30,3885,0.664721780604134
2020-08-31,3886,0.664721780604134
2020-09-01,3887,0.664721780604134
2020-09-02,3888,0.664721780604134
2020-09-03,3889,0.664721780604134
2020-09-04,3890,0.664721780604134
2020-09-05,3891,0.664721780604134
2020-09-06,3892,0.664721780604134
2020-09-07,3893,0.672289348171701
2020-09-08,3894,0.672289348171701
2020-09-09,3895,0.672289348171701
2020-09-10,3896,0.672289348171701
2020-09-11,3897,0.750053475935829
2020-09-12,3898,0.783235294117647
2020-09-13,3899,0.783235294117647
2020-09-14,3900,0.783235294117647
2020-09-15,3901,0.783235294117647
2020-09-16,3902,0.783235294117647
2020-09-17,3903,0.783235294117647
2020-09-18,3904,0.783235294117647
2020-09-19,3905,0.778917112299465
2020-09-20,3906,0.785621657754011
2020-09-21,3907,0.788803475935829
2020-09-22,3908,0.788803475935829
2020-09-23,3909,0.788803475935829
2020-09-24,3910,0.788803475935829
2020-09-25,3911,0.785621657754011
2020-09-26,3912,0.785621657754011
2020-09-27,3913,0.771417112299465
2020-09-28,3914,0.669371657754011
2020-09-29,3915,0.652326203208556
2020-09-30,3916,0.652326203208556
2020-10-01,3917,0.652326203208556
2020-10-02,3918,0.652098930481283
2020-10-03,3919,0.644371657754011
2020-10-04,3920,0.646189839572193
2020-10-05,3921,0.646189839572193
2020-10-06,3922,0.659144385026738
2020-10-07,3923,0.659144385026738
2020-10-08,3924,0.659144385026738
2020-10-09,3925,0.679485294117647
2020-10-10,3926,0.787023172905526
2020-10-11,3927,0.79471256684492
2020-10-12,3928,0.79721256684492
2020-10-13,3929,0.802553475935829
2020-10-14,3930,0.802553475935829
2020-10-15,3931,0.802553475935829
2020-10-16,3932,0.802553475935829
2020-10-17,3933,0.802553475935829
2020-10-18,3934,0.809258021390374
2020-10-19,3935,0.809258021390374
2020-10-20,3936,0.809258021390374
2020-10-21,3937,0.809258021390374
2020-10-22,3938,0.809258021390374
2020-10-23,3939,0.801076203208556
2020-10-24,3940,0.801076203208556
2020-10-25,3941,0.801076203208556
2020-10-26,3942,0.806871657754011
2020-10-27,3943,0.806871657754011
2020-10-28,3944,0.806871657754011
2020-10-29,3945,0.806871657754011
2020-10-30,3946,0.80721256684492
2020-10-31,3947,0.80721256684492
2020-11-01,3948,0.80721256684492
2020-11-02,3949,0.804598930481283
2020-11-03,3950,0.804598930481283
2020-11-04,3951,0.804598930481283
2020-11-05,3952,0.804598930481283
2020-11-06,3953,0.804598930481283
2020-11-07,3954,0.807326203208556
2020-11-08,3955,0.810621657754011
2020-11-09,3956,0.810621657754011
2020-11-10,3957,0.810621657754011
2020-11-11,3958,0.810621657754011
2020-11-12,3959,0.810621657754011
2020-11-13,3960,0.810621657754011
2020-11-14,3961,0.810621657754011
2020-11-15,3962,0.81346256684492
2020-11-16,3963,0.81346256684492
2020-11-17,3964,0.81346256684492
2020-11-18,3965,0.81346256684492
2020-11-19,3966,0.81346256684492
2020-11-20,3967,0.814939839572193
2020-11-21,3968,0.814939839572193
2020-11-22,3969,0.820621657754011
2020-11-23,3970,0.820621657754011
2020-11-24,3971,0.820621657754011
2020-11-25,3972,0.820621657754011
2020-11-26,3973,0.820621657754011
2020-11-27,3974,0.821871657754011
2020-11-28,3975,0.821871657754011
2020-11-29,3976,0.828803475935829
2020-11-30,3977,0.83096256684492
2020-12-01,3978,0.83096256684492
2020-12-02,3979,0.83096256684492
2020-12-03,3980,0.83096256684492
2020-12-04,3981,0.828803475935829
2020-12-05,3982,0.829826203208556
2020-12-06,3983,0.830508021390374
2020-12-07,3984,0.829826203208556
2020-12-08,3985,0.829826203208556
2020-12-09,3986,0.829826203208556
2020-12-10,3987,0.830508021390374
2020-12-11,3988,0.830508021390374
2020-12-12,3989,0.830508021390374
2020-12-13,3990,0.823121657754011
2020-12-14,3991,0.819258021390374
2020-12-15,3992,0.797098930481283
2020-12-16,3993,0.797098930481283
2020-12-17,3994,0.797098930481283
2020-12-18,3995,0.782553475935829
2020-12-19,3996,0.764485294117647
2020-12-20,3997,0.761758021390374
2020-12-21,3998,0.634258021390374
2020-12-22,3999,0.597553475935829
2020-12-23,4000,0.584030748663102
2020-12-24,4001,0.584030748663102
2020-12-25,4002,0.517002417405318
2020-12-26,4003,0.431303475935829
2020-12-27,4004,0.342780748663102
2020-12-28,4005,0.329939839572193
2020-12-29,4006,0.329939839572193
2020-12-30,4007,0.329939839572193
2020-12-31,4008,0.329939839572193
2021-01-01,4009,0.342780748663102
2021-01-02,4010,0.503803475935829
2021-01-03,4011,0.514939839572193
2021-01-04,4012,0.52846256684492
2021-01-05,4013,0.531417112299465
2021-01-06,4014,0.531417112299465
2021-01-07,4015,0.531417112299465
2021-01-08,4016,0.566303475935829
2021-01-09,4017,0.638689839572192
2021-01-10,4018,0.647439839572193
2021-01-11,4019,0.647439839572193
2021-01-12,4020,0.66221256684492
2021-01-13,4021,0.66221256684492
2021-01-14,4022,0.66221256684492
2021-01-15,4023,0.665848930481283
2021-01-16,4024,0.667098930481283
2021-01-17,4025,0.679598930481284
2021-01-18,4026,0.686871657754011
2021-01-19,4027,0.68721256684492
2021-01-20,4028,0.68721256684492
2021-01-21,4029,0.68721256684492
2021-01-22,4030,0.686871657754011
2021-01-23,4031,0.686871657754011
2021-01-24,4032,0.703121657754011
2021-01-25,4033,0.721303475935829
2021-01-26,4034,0.736985294117647
2021-01-27,4035,0.736985294117647
2021-01-28,4036,0.736985294117647
2021-01-29,4037,0.782667112299465
2021-01-30,4038,0.783689839572193
2021-01-31,4039,0.794485294117647
2021-02-01,4040,0.794485294117647
2021-02-02,4041,0.809826203208556
2021-02-03,4042,0.809826203208556
2021-02-04,4043,0.809826203208556
2021-02-05,4044,0.80221256684492
2021-02-06,4045,0.80221256684492
2021-02-07,4046,0.80221256684492
2021-02-08,4047,0.80221256684492
2021-02-09,4048,0.80221256684492
2021-02-10,4049,0.80221256684492
2021-02-11,4050,0.80221256684492
2021-02-12,4051,0.811303475935829
2021-02-13,4052,0.811303475935829
2021-02-14,4053,0.811303475935829
2021-02-15,4054,0.811303475935829
2021-02-16,4055,0.811303475935829
2021-02-17,4056,0.811303475935829
2021-02-18,4057,0.807004524886878
2021-02-19,4058,0.807004524886878
2021-02-20,4059,0.807004524886878
2021-02-21,4060,0.810167112299465
2021-02-22,4061,0.810167112299465
2021-02-23,4062,0.810167112299465
2021-02-24,4063,0.810167112299465
2021-02-25,4064,0.818386809269162
2021-02-26,4065,0.818386809269162
2021-02-27,4066,0.818386809269162
2021-02-28,4067,0.818386809269162
2021-03-01,4068,0.818386809269162
2021-03-02,4069,0.818386809269162
2021-03-03,4070,0.818386809269162
2021-03-04,4071,0.817894385026738
2021-03-05,4072,0.815053475935829
2021-03-06,4073,0.815053475935829
2021-03-07,4074,0.817894385026738
2021-03-08,4075,0.814939839572193
2021-03-09,4076,0.814939839572193
2021-03-10,4077,0.814939839572193
2021-03-11,4078,0.814939839572193
2021-03-12,4079,0.818576203208556
2021-03-13,4080,0.820735294117647
2021-03-14,4081,0.826871657754011
2021-03-15,4082,0.826871657754011
2021-03-16,4083,0.825508021390374
2021-03-17,4084,0.820735294117647
2021-03-18,4085,0.820735294117647
2021-03-19,4086,0.814485294117647
2021-03-20,4087,0.766644385026738
2021-03-21,4088,0.766644385026738
2021-03-22,4089,0.766644385026738
2021-03-23,4090,0.766644385026738
2021-03-24,4091,0.804598930481283
2021-03-25,4092,0.818992869875223
2021-03-26,4093,0.821303475935829
2021-03-27,4094,0.823292765382015
2021-03-28,4095,0.826303475935829
2021-03-29,4096,0.826303475935829
2021-03-30,4097,0.823292765382015
2021-03-31,4098,0.818992869875223
2021-04-01,4099,0.808121657754011
2021-04-02,4100,0.68309243697479
2021-04-03,4101,0.647894385026738
2021-04-04,4102,0.647894385026738
2021-04-05,4103,0.647894385026738
2021-04-06,4104,0.674598930481283
2021-04-07,4105,0.674598930481283
2021-04-08,4106,0.689598930481284
2021-04-09,4107,0.702667112299465
2021-04-10,4108,0.702667112299465
2021-04-11,4109,0.703235294117647
2021-04-12,4110,0.712894385026738
2021-04-13,4111,0.715508021390374
2021-04-14,4112,0.715508021390374
2021-04-15,4113,0.715508021390374
2021-04-16,4114,0.72721256684492
2021-04-17,4115,0.791417112299465
2021-04-18,4116,0.793235294117647
2021-04-19,4117,0.798525149190111
2021-04-20,4118,0.827098930481283
2021-04-21,4119,0.827098930481283
2021-04-22,4120,0.827098930481283
2021-04-23,4121,0.827098930481283
2021-04-24,4122,0.827098930481283
2021-04-25,4123,0.829939839572193
2021-04-26,4124,0.829939839572193
2021-04-27,4125,0.829939839572193
2021-04-28,4126,0.829939839572193
2021-04-29,4127,0.829939839572193
2021-04-30,4128,0.830304259634888
2021-05-01,4129,0.829939839572193
2021-05-02,4130,0.82340770791075
2021-05-03,4131,0.821303475935829
2021-05-04,4132,0.821303475935829
2021-05-05,4133,0.821303475935829
2021-05-06,4134,0.821303475935829
2021-05-07,4135,0.821303475935829
2021-05-08,4136,0.821303475935829
2021-05-09,4137,0.824371657754011
2021-05-10,4138,0.824939839572193
2021-05-11,4139,0.824939839572193
2021-05-12,4140,0.824939839572193
2021-05-13,4141,0.824939839572193
2021-05-14,4142,0.824939839572193
2021-05-15,4143,0.824939839572193
2021-05-16,4144,0.830053475935829
2021-05-17,4145,0.834557133198107
2021-05-18,4146,0.838689839572193
2021-05-19,4147,0.838689839572193
2021-05-20,4148,0.838689839572193
2021-05-21,4149,0.838689839572193
2021-05-22,4150,0.841076203208556
2021-05-23,4151,0.84340770791075
2021-05-24,4152,0.847326203208556
2021-05-25,4153,0.847326203208556
2021-05-26,4154,0.847326203208556
2021-05-27,4155,0.847326203208556
2021-05-28,4156,0.847326203208556
2021-05-29,4157,0.850878972278567
2021-05-30,4158,0.855361730899256
2021-05-31,4159,0.855361730899256
2021-06-01,4160,0.855361730899256
2021-06-02,4161,0.855361730899256
2021-06-03,4162,0.855361730899256
2021-06-04,4163,0.860053475935829
2021-06-05,4164,0.860848930481283
2021-06-06,4165,0.860053475935829
2021-06-07,4166,0.855621657754011
2021-06-08,4167,0.842143340094659
2021-06-09,4168,0.842143340094659
2021-06-10,4169,0.842143340094659
2021-06-11,4170,0.838803475935829
2021-06-12,4171,0.838803475935829
2021-06-13,4172,0.838803475935829
2021-06-14,4173,0.842143340094659
2021-06-15,4174,0.850189317106153
2021-06-16,4175,0.850189317106153
2021-06-17,4176,0.850189317106153
2021-06-18,4177,0.850189317106153
2021-06-19,4178,0.843982420554429
2021-06-20,4179,0.824672075726842
2021-06-21,4180,0.818121657754011
2021-06-22,4181,0.796626098715348
2021-06-23,4182,0.796626098715348
2021-06-24,4183,0.796626098715348
2021-06-25,4184,0.786644385026738
2021-06-26,4185,0.73229326513214
2021-06-27,4186,0.595508021390374
2021-06-28,4187,0.592439839572193
2021-06-29,4188,0.592439839572193
2021-06-30,4189,0.592439839572193
2021-07-01,4190,0.584598930481283
2021-07-02,4191,0.584598930481283
2021-07-03,4192,0.595280748663102
2021-07-04,4193,0.595280748663102
2021-07-05,4194,0.597780748663102
2021-07-06,4195,0.597780748663102
2021-07-07,4196,0.597780748663102
2021-07-08,4197,0.597780748663102
2021-07-09,4198,0.597780748663102
2021-07-10,4199,0.611013071895425
2021-07-11,4200,0.611871657754011
2021-07-12,4201,0.665280748663102
2021-07-13,4202,0.669384719405003
2021-07-14,4203,0.669384719405003
2021-07-15,4204,0.669384719405003
2021-07-16,4205,0.669384719405003
2021-07-17,4206,0.652028397565923
2021-07-18,4207,0.640235294117647
2021-07-19,4208,0.62346256684492
2021-07-20,4209,0.62346256684492
2021-07-21,4210,0.61789046653144
2021-07-22,4211,0.61789046653144
2021-07-23,4212,0.61789046653144
2021-07-24,4213,0.621913455037187
2021-07-25,4214,0.62346256684492
2021-07-26,4215,0.62721256684492
2021-07-27,4216,0.62721256684492
2021-07-28,4217,0.62721256684492
2021-07-29,4218,0.62721256684492
2021-07-30,4219,0.62721256684492
2021-07-31,4220,0.635476673427992
2021-08-01,4221,0.636644385026738
2021-08-02,4222,0.640053475935829
2021-08-03,4223,0.640053475935829
2021-08-04,4224,0.640053475935829
2021-08-05,4225,0.640053475935829
2021-08-06,4226,0.635476673427992
2021-08-07,4227,0.629959432048682
2021-08-08,4228,0.59409243697479
2021-08-09,4229,0.592780748663102
2021-08-10,4230,0.592780748663102
2021-08-11,4231,0.591189839572193
2021-08-12,4232,0.591189839572193
2021-08-13,4233,0.588350236646383
2021-08-14,4234,0.568378151260504
2021-08-15,4235,0.487553475935829
